epoch,train_loss,train_acc,val_loss,val_acc,epoch_time
1,1.7919099235916138,0.33826,1.6340827714920043,0.4373,1.6235740184783936
2,1.549381881980896,0.43864,1.4410052505493165,0.4884,1.3614373207092285
3,1.4726111525726318,0.47606,1.3508721576690674,0.5114,1.4006907939910889
4,1.4430550968170166,0.4879,1.3256402011871338,0.5277,1.383277416229248
5,1.4581668865203858,0.49088,1.363385004043579,0.5291,1.3793301582336426
6,1.4449167654800414,0.49616,1.2836010848999024,0.558,1.3790159225463867
7,1.4441428665924072,0.49996,1.3064707738876342,0.5419,1.400024652481079
8,1.4327913277816773,0.50622,1.3450834169387818,0.546,1.3750286102294922
9,1.4315591573333741,0.50728,1.319284755706787,0.5436,1.3840053081512451
10,1.4350746243286132,0.51004,1.3811370012283326,0.5218,1.3767797946929932
11,1.4682087787246705,0.4985,1.3954794410705567,0.5303,1.371309518814087
12,1.4556682373809815,0.50078,1.4278011075973511,0.5039,1.388105869293213
13,1.4528919134902953,0.50336,1.4293308387756347,0.5201,1.3490736484527588
14,1.4549273190307617,0.50778,1.4640832040786744,0.4968,1.3858642578125
15,1.4377248767089843,0.51236,1.2936383930206299,0.5723,1.380246639251709
16,1.499767928237915,0.49568,1.4634904563903808,0.4969,1.3853142261505127
17,1.4702921826934814,0.5017,1.3734659532546998,0.5399,1.3606266975402832
18,1.4623463600921631,0.50464,1.5580374549865723,0.4761,1.4010767936706543
19,1.496480365715027,0.49594,1.3953977600097656,0.5363,1.3871605396270752
20,1.4855791186523437,0.49826,1.478196685028076,0.5299,1.3680787086486816
21,1.5224050568389893,0.48826,1.5180630630493164,0.473,1.3629708290100098
22,1.5089710405349732,0.49302,1.4811567756652833,0.5109,1.3656163215637207
23,1.5210259936904906,0.49114,1.4007602354049682,0.533,1.3690006732940674
24,1.5263555167007445,0.48734,1.4631419607162475,0.5189,1.389972448348999
25,1.513796100616455,0.4914,1.4734086187362672,0.4936,1.4236805438995361
26,1.5213134035873412,0.48986,1.4050567342758178,0.5305,1.3707475662231445
27,1.5077419228363038,0.49338,1.4037260780334473,0.5365,1.3625681400299072
28,1.5004111044692994,0.49836,1.3982514598846436,0.5312,1.3664004802703857
29,1.5022322518539428,0.49862,1.429030252456665,0.5282,1.360011100769043
30,1.524173819885254,0.49238,1.5511377924919127,0.4955,1.3633720874786377
31,1.533337456703186,0.4866,1.420103224182129,0.5418,1.353616714477539
32,1.552406880722046,0.48376,1.5362631828308106,0.4902,1.3562569618225098
33,1.560524280014038,0.48002,1.4785586221694946,0.4926,1.3985321521759033
34,1.528546491546631,0.48848,1.4640026290893555,0.5156,1.38356614112854
35,1.5738866998672485,0.47062,1.5369557250976562,0.473,1.397395372390747
36,1.5534941905975341,0.48348,1.5702187030792236,0.5028,1.4039859771728516
37,1.5198605687713622,0.49034,1.4403064275741577,0.514,1.386324405670166
38,1.5087392543029785,0.49616,1.51789443359375,0.5075,1.409040927886963
39,1.5646120391464233,0.47832,1.5641816165924072,0.4953,1.3989770412445068
40,1.5671875204467773,0.47724,1.5456353122711182,0.4929,1.3664240837097168
41,1.5430049161148072,0.48614,1.4876097871780396,0.494,1.4022941589355469
42,1.5429036227798463,0.48332,1.5116898696899415,0.485,1.4017856121063232
43,1.5262984414291383,0.4894,1.4737820854187011,0.5254,1.3825621604919434
44,1.5374040887069702,0.48556,1.4913712289810181,0.5021,1.3858380317687988
45,1.5615568936538697,0.48088,1.5061138137817383,0.4983,1.4049701690673828
46,1.5286008340454103,0.4869,1.536550164604187,0.5014,1.3871285915374756
47,1.5336006092453003,0.48764,1.5311904874801636,0.4911,1.379828691482544
48,1.5537838373184205,0.48202,1.4935499452590943,0.5065,1.3920385837554932
49,1.5760724518203735,0.47438,1.4962011096954346,0.496,1.351111650466919
50,1.5459978891754151,0.48526,1.4660561922073365,0.5303,1.3660414218902588
51,1.541008243675232,0.48508,1.4956788635253906,0.4988,1.3648390769958496
52,1.5475684311294555,0.481,1.5073565357208252,0.5238,1.381460189819336
53,1.5714715048980712,0.47582,1.493738281440735,0.5108,1.4028465747833252
54,1.5861071352386475,0.46826,1.423002618789673,0.5324,1.3935716152191162
55,1.5236885537338256,0.4946,1.475521350479126,0.5108,1.3795909881591797
56,1.545730500793457,0.48692,1.4959807458877563,0.5115,1.3744838237762451
57,1.5443273767089845,0.48526,1.514695058441162,0.4924,1.3885514736175537
58,1.5663825975799561,0.48092,1.5367139123916627,0.4729,1.3887591361999512
59,1.5786203707885742,0.47382,1.4625282627105713,0.5137,1.3814733028411865
60,1.5633481744003297,0.47686,1.522875555038452,0.4959,1.390014886856079
61,1.5550451747894287,0.47934,1.512810147857666,0.4859,1.3924202919006348
62,1.5246899521636963,0.4914,1.5168421266555787,0.4887,1.4130842685699463
63,1.5497546521759034,0.48258,1.4670390171051026,0.5181,1.4138708114624023
64,1.5710133129119872,0.47358,1.485022738647461,0.5094,1.3905057907104492
65,1.5611142510604858,0.47746,1.487259534072876,0.5118,1.4029738903045654
66,1.5371490313339233,0.48454,1.5040403366088868,0.4943,1.375800609588623
67,1.5334478162384033,0.48848,1.5309313598632812,0.4949,1.3889482021331787
68,1.5540825304031372,0.4836,1.5001195499420166,0.5204,1.3664705753326416
69,1.5554596450424194,0.482,1.4510499805450439,0.5323,1.3831605911254883
70,1.5599267295074464,0.4799,1.5312897527694702,0.4863,1.3985521793365479
71,1.5472039894866942,0.48638,1.4944468004226685,0.5111,1.366126298904419
72,1.5357739528274537,0.49066,1.5118678663253784,0.4954,1.3797423839569092
73,1.5610465966033935,0.4773,1.5369296314239502,0.4823,1.4240989685058594
74,1.5710464490509033,0.47818,1.472542790222168,0.5164,1.399569034576416
75,1.5658224516296386,0.4722,1.528180623626709,0.5091,1.3900113105773926
76,1.5503176569366455,0.48608,1.4938170059204101,0.5202,1.3536198139190674
